@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
4021,'2020/12/08 21:22:40:132',14,0.002591,-0.000278,0.002746,0.007367,0.019006,0.02718,1.49978,-1.120022,-1.522195,1
4022,'2020/12/08 21:22:40:185',14,-0.002248,0.00281,-0.002568,0.00612,0.001218,0.012107,1.498156,-1.117795,-1.524067,1
4023,'2020/12/08 21:22:40:238',14,-0.001828,-0.00804,0.004739,0.016807,0.003459,0.00491,1.498566,-1.133818,-1.507597,1
4024,'2020/12/08 21:22:40:290',14,-0.004402,-0.00703,0.00674,-0.021975,-0.003387,0.00452,1.498177,-1.127003,-1.51486,1
4025,'2020/12/08 21:22:40:344',14,0.007585,0.009381,-0.002132,-0.002158,-0.004363,0.020461,1.497028,-1.125537,-1.516069,1
4026,'2020/12/08 21:22:40:396',14,0.009035,0.015379,-0.006729,0.054348,-0.052817,0.012016,1.496847,-1.149747,-1.492888,1
4027,'2020/12/08 21:22:40:448',14,-0.015843,-0.02139,0.01022,0.02756,-0.041123,0.013228,1.497737,-1.179214,-1.466298,1
4028,'2020/12/08 21:22:40:523',14,-0.017215,-0.019812,0.006921,-0.063365,0.016689,0.001581,1.496712,-1.163732,-1.482753,1
4029,'2020/12/08 21:22:40:553',14,0.015044,0.011743,-0.014871,0.00473,0.021232,-0.004767,1.495558,-1.147754,-1.497716,1
4030,'2020/12/08 21:22:40:605',14,0.002328,0.009636,-0.003049,0.035449,-0.035738,-0.030267,1.496352,-1.170332,-1.476597,1
4031,'2020/12/08 21:22:40:658',14,-0.001364,-0.002268,0.004128,0.019557,0.025135,0.032004,1.49694,-1.175872,-1.470603,1
4032,'2020/12/08 21:22:40:712',14,-0.007783,-0.010477,0.002281,0.005358,0.00101,-0.0184,1.496955,-1.174901,-1.471344,1
4033,'2020/12/08 21:22:52:607',15,0.005164,-0.001429,-0.005694,-0.016691,0.004684,0.001339,-0.020656,-1.561901,-1.085725,2
